"color","CMYK_code","RGB_code"
"1","10 0 6 0","#E6FFF0"
"3","27 0 11 0","#BAFFE3"
"4","27 0 23 0","#BAFFC4"
"7","30 0 40 0","#B2FF99"
"8","0 0 27 0","#FFFFBA"
"11","0 6 56 0","#FFF070"
"12","6 0 43 0","#F0FF91"
"13","11 0 65 0","#E3FF59"
"15","11 0 79 6","#D5F032"
"17","0 0 100 0","#FFFF00"
"18","0 7 100 0","#FFED00"
"19","0 16 100 0","#FFD600"
"20","0 30 47 0","#FFB287"
"21","0 27 100 6","#F0AF00"
"23","0 23 43 18","#D1A177"
"24","0 34 83 15","#D98F25"
"27","0 56 100 18","#D15C00"
"28","0 40 80 36","#A36221"
"30","0 38 100 23","#C47A00"
"31","0 23 100 27","#BA8F00"
"32","40 40 70 0","#99994D"
"33","0 0 100 23","#C4C400"
"34","11 0 100 27","#A6BA00"
"35","0 0 100 43","#919100"
"36","15 0 65 38","#869E37"
"37","43 0 100 23","#70C400"
"38","56 0 100 0","#70FF00"
"39","60 0 79 0","#66FF36"
"40","76 0 100 11","#36E300"
"41","100 0 91 6","#00F016"
"42","60 0 51 0","#66FF7D"
"43","51 0 30 0","#7DFFB2"
"44","43 0 11 0","#91FFE3"
"45","65 0 18 0","#59FFD1"
"46","83 0 23 0","#2BFFC4"
"47","100 0 15 0","#00FFD9"
"48","100 43 0 0","#0091FF"
"49","15 10 0 0","#D9E6FF"
"50","15 38 0 0","#D99EFF"
"51","0 51 0 0","#FF7DFF"
"52","9 76 0 0","#E83DFF"
"53","47 91 0 0","#8717FF"
"54","38 43 0 0","#9E91FF"
"56","72 79 0 0","#4736FF"
"57","0 11 38 0","#FFE39E"
"58","0 51 100 0","#FF7D00"
"59","0 60 100 18","#D15400"
"60","0 18 70 30","#B29236"
"61","6 0 20 20","#C0CCA3"
"62","9 0 40 40","#8B995C"
"63","0 56 94 34","#A84A0A"
"64","0 56 100 60","#662D00"
"65","42 0 27 0","#94FFBA"
"66","94 0 56 18","#0DD15C"
"67","56 0 91 38","#469E0E"
"68","26 0 100 43","#6C9100"
"69","43 0 30 27","#6ABA82"
"70","100 0 79 27","#00BA27"
"79","0 79 94 0","#FF360F"
"80","0 100 91 0","#FF0017"
"81","0 76 83 11","#E33627"
"82","0 100 18 18","#D100AB"
"84","23 0 51 11","#AFE36F"
"86","0 11 94 10","#E6CC0E"
"87","9 0 100 0","#E8FF00"
"90","0 34 100 20","#CC8700"
"100","0 100 100 0","#FF0000"
"111","0 0 0 60","#666666"
"130","100 0 100 0","#00FF00"
"800","100 50 0 0","#0080FF"
